codigo;descripcion;unidad;precio
120046;FOCO PANEL LED 15W;UNIDA;4874
120047;FOCO PANEL LED 18W;UNIDA;9244
120613;FOCO PANEL LED 24W CALIDA 20/C;UNIDA;6723
120612;FOCO PANEL LED 24W FRIA 20/C;UNIDA;6303
120621;FOCO PANEL LED C/ESCALA 12W CALIDA;UNIDA;4622
120620;FOCO PANEL LED C/ESCALA 12W FRIA;UNIDA;4622
120623;FOCO PANEL LED C/ESCALA 15W CALIDA;UNIDA;5882
120622;FOCO PANEL LED C/ESCALA 15W FRIA;UNIDA;5714
120629;FOCO PANEL LED C/ESCALA 24W CALIDA;UNIDA;6303
120614;FOCO PANEL LED C/ESCALA 3W FRIA;UNIDA;2941
120619;FOCO PANEL LED C/ESCALA 9W CALIDA;UNIDA;4202
120618;FOCO PANEL LED C/ESCALA 9W FRIA;UNIDA;4202
120403;FOCO PANEL LED C/ESCALA NO.2;UNIDA;3529
120402;FOCO PANEL LED C/ESCALA NO.2;UNIDA;3529
120405;FOCO PANEL LED C/ESCALA NO.2;UNIDA;4034
120404;FOCO PANEL LED C/ESCALA NO.2;UNIDA;4034
120407;FOCO PANEL LED C/ESCALA NO.2;UNIDA;5882
120401;FOCO PANEL LED C/ESCALA NO.2;UNIDA;2521
120400;FOCO PANEL LED C/ESCALA NO.2;UNIDA;2521
120601;FOCO PANEL LED ZH-R031 3W CALIDA;UNIDA;2521
120602;FOCO PANEL LED ZH-R061 6W;UNIDA;2941
120603;FOCO PANEL LED ZH-R061 6W CALIDA;UNIDA;2941
120604;FOCO PANEL LED ZH-R091 9W;UNIDA;3529
120605;FOCO PANEL LED ZH-R091 9W CALIDA;UNIDA;3529
120607;FOCO PANEL LED ZH-R121 12W CALIDA;UNIDA;3950
